wavelength_um,intensity_MW_sr-1_m-2_nm-1
0.000000000000000000e+00,nan
6.006006006006005954e-03,1.224605574644189078e-241
1.201201201201201191e-02,4.269209309763668112e-113
1.801801801801801786e-02,1.256198345898256115e-70
2.402402402402402382e-02,1.409120283931812358e-49
3.003003003003003324e-02,4.668185667312556904e-37
3.603603603603603572e-02,8.771529000202976703e-29
4.204204204204203821e-02,6.325276393904494236e-23
4.804804804804804763e-02,1.431111220222244115e-18
5.405405405405405705e-02,3.253429222292324711e-15
6.006006006006006648e-02,1.491071198127215749e-12
6.606606606606606202e-02,2.143063192523988956e-10
7.207207207207207145e-02,1.295713123767562542e-08
7.807807807807808087e-02,4.036212124184108366e-07
8.408408408408407642e-02,7.484175888717750360e-06
9.009009009009008584e-02,9.180693720325721566e-05
9.609609609609609526e-02,8.062339046349469799e-04
1.021021021021021047e-01,5.383292657353965990e-03
1.081081081081081141e-01,2.863609138919245498e-02
1.141141141141141097e-01,1.258983282676209847e-01
1.201201201201201330e-01,4.710841826924127007e-01
1.261261261261261146e-01,1.536122471246257115e+00
1.321321321321321240e-01,4.450257159058255141e+00
1.381381381381381335e-01,1.163807295698047106e+01
1.441441441441441429e-01,2.783880862145903734e+01
1.501501501501501246e-01,6.158833754045245001e+01
1.561561561561561617e-01,1.271973145418814966e+02
1.621621621621621434e-01,2.471903787076625179e+02
1.681681681681681528e-01,4.550941317872927812e+02
1.741741741741741623e-01,7.983906556616981334e+02
1.801801801801801717e-01,1.341401953764519476e+03
1.861861861861861811e-01,2.167847786836426167e+03
1.921921921921921905e-01,3.382827926312107138e+03
1.981981981981981722e-01,5.114017236361452888e+03
2.042042042042042094e-01,7.511921368282560252e+03
2.102102102102101910e-01,1.074911308801139057e+04
2.162162162162162282e-01,1.501844487310089789e+04
2.222222222222222099e-01,2.053030405102524310e+04
2.282282282282282193e-01,2.750903609687582502e+04
2.342342342342342287e-01,3.618870586887208628e+04
2.402402402402402659e-01,4.680839396845645388e+04
2.462462462462462476e-01,5.960723645772594318e+04
2.522522522522522292e-01,7.481941267720455653e+04
2.582582582582582664e-01,9.266927060051201261e+04
2.642642642642642481e-01,1.133667551604973705e+05
2.702702702702702298e-01,1.371032754149508837e+05
2.762762762762762669e-01,1.640481141507244611e+05
2.822822822822823041e-01,1.943454509735233150e+05
2.882882882882882858e-01,2.281120389960796165e+05
2.942942942942942675e-01,2.654355472872455721e+05
3.003003003003002491e-01,3.063735571526102140e+05
3.063063063063063418e-01,3.509531805304168956e+05
3.123123123123123235e-01,3.991712534059793106e+05
3.183183183183183051e-01,4.509950460120622884e+05
3.243243243243242868e-01,5.063634243453725358e+05
3.303303303303303240e-01,5.651883937280190876e+05
3.363363363363363057e-01,6.273569542542551644e+05
3.423423423423423428e-01,6.927331994484126335e+05
3.483483483483483245e-01,7.611605927966105519e+05
3.543543543543543617e-01,8.324643615187967662e+05
3.603603603603603434e-01,9.064539525872224476e+05
3.663663663663663250e-01,9.829255022009308450e+05
3.723723723723723622e-01,1.061664276382341050e+06
3.783783783783783994e-01,1.142447046821480617e+06
3.843843843843843811e-01,1.225044372360239970e+06
3.903903903903903627e-01,1.309222762438426027e+06
3.963963963963963444e-01,1.394746704312992049e+06
4.024024024024024371e-01,1.481380540846959222e+06
4.084084084084084187e-01,1.568890190109609626e+06
4.144144144144144004e-01,1.657044701924182707e+06
4.204204204204203821e-01,1.745617649850941729e+06
4.264264264264264193e-01,1.834388359924461693e+06
4.324324324324324564e-01,1.923142979805633193e+06
4.384384384384384381e-01,2.011675393900074530e+06
4.444444444444444198e-01,2.099787991477290634e+06
4.504504504504504570e-01,2.187292295943296980e+06
4.564564564564564386e-01,2.274009464216938708e+06
4.624624624624624203e-01,2.359770665680292528e+06
4.684684684684684575e-01,2.444417350455676671e+06
4.744744744744744946e-01,2.527801416844791733e+06
4.804804804804805318e-01,2.609785287682970520e+06
4.864864864864865135e-01,2.690241905145179946e+06
4.924924924924924952e-01,2.769054653217930347e+06
4.984984984984985323e-01,2.846117216646987945e+06
5.045045045045044585e-01,2.921333384706317447e+06
5.105105105105105512e-01,2.994616807626945898e+06
5.165165165165165329e-01,3.065890712991490029e+06
5.225225225225225145e-01,3.135087588853383437e+06
5.285285285285284962e-01,3.202148839790543541e+06
5.345345345345344779e-01,3.267024421560117509e+06
5.405405405405404595e-01,3.329672459490709007e+06
5.465465465465465522e-01,3.390058855236703530e+06
5.525525525525525339e-01,3.448156886030306574e+06
5.585585585585585155e-01,3.503946800103249028e+06
5.645645645645646082e-01,3.557415411514256615e+06
5.705705705705705899e-01,3.608555697210782208e+06
5.765765765765765716e-01,3.657366398775917944e+06
5.825825825825825532e-01,3.703851630962448660e+06
5.885885885885885349e-01,3.748020498796193860e+06
5.945945945945945166e-01,3.789886724739162251e+06
6.006006006006004982e-01,3.829468287138082087e+06
6.066066066066065909e-01,3.866787070945077576e+06
6.126126126126126836e-01,3.901868531482719816e+06
6.186186186186186653e-01,3.934741371834166348e+06
6.246246246246246470e-01,3.965437234269048553e+06
6.306306306306306286e-01,3.993990405965706799e+06
6.366366366366366103e-01,4.020437539158749860e+06
6.426426426426425920e-01,4.044817385726408102e+06
6.486486486486485736e-01,4.067170546132768039e+06
6.546546546546545553e-01,4.087539232555314433e+06
6.606606606606606480e-01,4.105967045956043061e+06
6.666666666666666297e-01,4.122498766793868970e+06
6.726726726726726113e-01,4.137180159026079345e+06
6.786786786786787040e-01,4.150057787005917635e+06
6.846846846846846857e-01,4.161178844850989059e+06
6.906906906906906674e-01,4.170590997832298744e+06
6.966966966966966490e-01,4.178342235315257218e+06
7.027027027027026307e-01,4.184480734771401156e+06
7.087087087087087234e-01,4.189054736371850595e+06
7.147147147147147050e-01,4.192112427670359146e+06
7.207207207207206867e-01,4.193701837884173263e+06
7.267267267267266684e-01,4.193870741284654941e+06
7.327327327327326500e-01,4.192666569216141943e+06
7.387387387387387427e-01,4.190136330270153005e+06
7.447447447447447244e-01,4.186326538152755704e+06
7.507507507507507061e-01,4.181283146795093548e+06
7.567567567567567988e-01,4.175051492270557210e+06
7.627627627627627804e-01,4.167676241096627899e+06
7.687687687687687621e-01,4.159201344514338300e+06
7.747747747747747438e-01,4.149669998354359530e+06
7.807807807807807254e-01,4.139124608114602976e+06
7.867867867867867071e-01,4.127606758890487719e+06
7.927927927927926888e-01,4.115157189815489575e+06
7.987987987987986704e-01,4.101815772685606964e+06
8.048048048048048742e-01,4.087621494457790628e+06
8.108108108108108558e-01,4.072612443327944260e+06
8.168168168168168375e-01,4.056825798109800555e+06
8.228228228228228192e-01,4.040297820651103277e+06
8.288288288288288008e-01,4.023063851038282271e+06
8.348348348348347825e-01,4.005158305355080403e+06
8.408408408408407642e-01,3.986614675774390344e+06
8.468468468468467458e-01,3.967465532775918953e+06
8.528528528528528385e-01,3.947742529294990003e+06
8.588588588588588202e-01,3.927476406620142981e+06
8.648648648648649129e-01,3.906697001868874766e+06
8.708708708708708945e-01,3.885433256882041693e+06
8.768768768768768762e-01,3.863713228388146963e+06
8.828828828828828579e-01,3.841564099298897665e+06
8.888888888888888395e-01,3.819012191007003188e+06
8.948948948948948212e-01,3.796082976566381752e+06
9.009009009009009139e-01,3.772801094643531833e+06
9.069069069069068956e-01,3.749190364137091208e+06
9.129129129129128772e-01,3.725273799370265100e+06
9.189189189189188589e-01,3.701073625768071041e+06
9.249249249249248406e-01,3.676611295938283671e+06
9.309309309309309333e-01,3.651907506081335247e+06
9.369369369369369149e-01,3.626982212660530582e+06
9.429429429429428966e-01,3.601854649269559886e+06
9.489489489489489893e-01,3.576543343639755156e+06
9.549549549549549710e-01,3.551066134734302759e+06
9.609609609609610636e-01,3.525440189881542698e+06
9.669669669669669343e-01,3.499682021903587505e+06
