wavelength_um,intensity_MW_sr-1_m-2_nm-1
0.000000000000000000e+00,inf
6.006006006006005954e-03,3.180979988499895600e+16
1.201201201201201191e-02,1.988112492812434750e+15
1.801801801801801786e-02,3.927135788271476250e+14
2.402402402402402382e-02,1.242570308007771719e+14
3.003003003003003324e-02,5.089567981599830469e+13
3.603603603603603572e-02,2.454459867669672656e+13
4.204204204204203821e-02,1.324856305081173047e+13
4.804804804804804763e-02,7.766064425048573242e+12
5.405405405405405705e-02,4.848315787989475586e+12
6.006006006006006648e-02,3.180979988499894043e+12
6.606606606606606202e-02,2.172652133392457031e+12
7.207207207207207145e-02,1.534037417293545410e+12
7.807807807807808087e-02,1.113749514547773193e+12
8.408408408408407642e-02,8.280351906757331543e+11
9.009009009009008584e-02,6.283417261234362793e+11
9.609609609609609526e-02,4.853790265655358276e+11
1.021021021021021047e-01,3.808599021204122925e+11
1.081081081081081141e-01,3.030197367493422241e+11
1.141141141141141097e-01,2.440880586014453735e+11
1.201201201201201330e-01,1.988112492812433777e+11
1.261261261261261146e-01,1.635625068001447754e+11
1.321321321321321240e-01,1.357907583370285645e+11
1.381381381381381335e-01,1.136709770369565277e+11
1.441441441441441429e-01,9.587733858084658813e+10
1.501501501501501246e-01,8.143308770559733582e+10
1.561561561561561617e-01,6.960934465923582458e+10
1.621621621621621434e-01,5.985575046900588989e+10
1.681681681681681528e-01,5.175219941723332214e+10
1.741741741741741623e-01,4.497476941272132874e+10
1.801801801801801717e-01,3.927135788271476746e+10
1.861861861861861811e-01,3.444404608557785797e+10
1.921921921921921905e-01,3.033618916034598923e+10
1.981981981981981722e-01,2.682286584435131836e+10
2.042042042042042094e-01,2.380374388252576828e+10
2.102102102102101910e-01,2.119770088129876709e+10
2.162162162162162282e-01,1.893873354683388901e+10
2.222222222222222099e-01,1.697282137713833237e+10
2.282282282282282193e-01,1.525550366259033585e+10
2.342342342342342287e-01,1.374999400676263046e+10
2.402402402402402659e-01,1.242570308007771111e+10
2.462462462462462476e-01,1.125707371748670387e+10
2.522522522522522292e-01,1.022265667500904846e+10
2.582582582582582664e-01,9.304373049206127167e+09
2.642642642642642481e-01,8.486922396064285278e+09
2.702702702702702298e-01,7.757305260783165932e+09
2.762762762762762669e-01,7.104436064809782982e+09
2.822822822822823041e-01,6.518827744067481995e+09
2.882882882882882858e-01,5.992333661302911758e+09
2.942942942942942675e-01,5.517935464727916718e+09
3.003003003003002491e-01,5.089567981599833488e+09
3.063063063063063418e-01,4.701974100252002716e+09
3.123123123123123235e-01,4.350584041202239037e+09
3.183183183183183051e-01,4.031414546844350338e+09
3.243243243243242868e-01,3.740984404312868118e+09
3.303303303303303240e-01,3.476243413427931309e+09
3.363363363363363057e-01,3.234512463577082634e+09
3.423423423423423428e-01,3.013432822240065098e+09
3.483483483483483245e-01,2.810923088295083046e+09
3.543543543543543617e-01,2.625142544238713264e+09
3.603603603603603434e-01,2.454459867669672966e+09
3.663663663663663250e-01,2.297426345210736275e+09
3.723723723723723622e-01,2.152752880348616123e+09
3.783783783783783994e-01,2.019290207409194469e+09
3.843843843843843811e-01,1.896011822521624327e+09
3.903903903903903627e-01,1.781999223276437759e+09
3.963963963963963444e-01,1.676429115271957397e+09
4.024024024024024371e-01,1.578562298593658924e+09
4.084084084084084187e-01,1.487733992657860518e+09
4.144144144144144004e-01,1.403345395517982244e+09
4.204204204204203821e-01,1.324856305081172943e+09
4.264264264264264193e-01,1.251778655847244501e+09
4.324324324324324564e-01,1.183670846677118063e+09
4.384384384384384381e-01,1.120132753468743086e+09
4.444444444444444198e-01,1.060801336071145773e+09
4.504504504504504570e-01,1.005346761797497988e+09
4.564564564564564386e-01,9.534689789118959904e+08
4.624624624624624203e-01,9.048946827956922054e+08
4.684684684684684575e-01,8.593746254226644039e+08
4.744744744744744946e-01,8.166812255152679682e+08
4.804804804804805318e-01,7.766064425048569441e+08
4.864864864864865135e-01,7.389598823334057331e+08
4.924924924924924952e-01,7.035671073429189920e+08
4.984984984984985323e-01,6.702681261100441217e+08
5.045045045045044585e-01,6.389160421880655289e+08
5.105105105105105512e-01,6.093758433926596642e+08
5.165165165165165329e-01,5.815233155753829479e+08
5.225225225225225145e-01,5.552440668237202168e+08
5.285285285285284962e-01,5.304326497540178299e+08
5.345345345345344779e-01,5.069917710621615648e+08
5.405405405405404595e-01,4.848315787989478707e+08
5.465465465465465522e-01,4.638690189703344703e+08
5.525525525525525339e-01,4.440272540506114364e+08
5.585585585585585155e-01,4.252351368589859009e+08
5.645645645645646082e-01,4.074267340042176247e+08
5.705705705705705899e-01,3.905408937623124719e+08
5.765765765765765716e-01,3.745208538314319849e+08
5.825825825825825532e-01,3.593138849167764187e+08
5.885885885885885349e-01,3.448709665454947948e+08
5.945945945945945166e-01,3.311464919055718780e+08
6.006006006006004982e-01,3.180979988499895930e+08
