wavelength_um,intensity_MW_sr-1_m-2_nm-1
9.999999999999999167e-02,3.792016855901219508e+00
1.999999999999999833e-01,2.100144183167244482e+05
2.999999999999999889e-01,3.347072267927635927e+06
4.000000000000000222e-01,8.743584892994333059e+06
5.000000000000001110e-01,1.210719059039812163e+07
6.000000000000000888e-01,1.276238854175758734e+07
7.000000000000000666e-01,1.181197537964585423e+07
8.000000000000000444e-01,1.024269849674860388e+07
9.000000000000000222e-01,8.595614427497386932e+06
1.000000000000000222e+00,7.101907122824910097e+06
1.100000000000000089e+00,5.832220742176296189e+06
1.199999999999999956e+00,4.786186091722687706e+06
1.300000000000000266e+00,3.937090893290549517e+06
1.400000000000000133e+00,3.251957302146714181e+06
1.500000000000000000e+00,2.699645169218147639e+06
1.599999999999999867e+00,2.253523369563112967e+06
1.700000000000000178e+00,1.891844553102527978e+06
1.800000000000000044e+00,1.597254721178954002e+06
1.899999999999999911e+00,1.356060734772304539e+06
2.000000000000000444e+00,1.157508004287766526e+06
2.100000000000000089e+00,9.931559171294125263e+05
2.200000000000000178e+00,8.563688514600787312e+05
2.299999999999999822e+00,7.419137161584381247e+05
2.399999999999999911e+00,6.456467153326105326e+05
2.500000000000000000e+00,5.642714660899498267e+05
2.600000000000000089e+00,4.951528014507876942e+05
2.700000000000000178e+00,4.361734686256193672e+05
2.800000000000000266e+00,3.856236570428811829e+05
2.900000000000000355e+00,3.421155900500452844e+05
3.000000000000000000e+00,3.045172522404316696e+05
3.100000000000000089e+00,2.719007512781563564e+05
3.200000000000000178e+00,2.435019030630183988e+05
3.300000000000000266e+00,2.186884543635620503e+05
3.399999999999999911e+00,1.969349792473342677e+05
3.500000000000000444e+00,1.778029540693400486e+05
3.600000000000000089e+00,1.609248686226214631e+05
3.700000000000000178e+00,1.459914973073826113e+05
3.799999999999999822e+00,1.327416556233654846e+05
3.900000000000000799e+00,1.209539202051175380e+05
4.000000000000000000e+00,1.104399071202210180e+05
4.100000000000000533e+00,1.010387922573944525e+05
4.200000000000000178e+00,9.261282606550959463e+04
4.300000000000000711e+00,8.504364768255858507e+04
4.400000000000000355e+00,7.822924436975958815e+04
4.500000000000000000e+00,7.208143395847077772e+04
4.599999999999999645e+00,6.652377284924639389e+04
4.700000000000000178e+00,6.148981157807820273e+04
4.800000000000000711e+00,5.692163530256922968e+04
4.900000000000000355e+00,5.276863868840443320e+04
5.000000000000000000e+00,4.898649430376372766e+04
