original_url,short_url
https://books.google.co.uk/books/about/Are_You_Smart_Enough_to_Work_at_Google.html?id=nVPY8KL5FUQC&redir_esc=y,areyousm
"https://link.springer.com/book/10.1007/978-3-642-73812-8#:~:text=De%20Motu%20animalium%2C%20Borelli's%20life,%2C%20jumping%2C%20swimming%20and%20flying.",onthemov
https://archive.is/Rexwl,inheadhu
https://courses.lumenlearning.com/suny-physics/chapter/5-2-drag-forces/,dragforc
https://royalsocietypublishing.org/doi/10.1098/rstb.1995.0024,legdesig
https://www.jstor.org/stable/2407721,accessch
http://www.anthonyherrel.fr/publications/Meyers%20et%20al%202002%20Topics.pdf,meyers20
https://www.researchgate.net/publication/51574303_Relative_Net_Vertical_Impulse_Determines_Jumping_Performance,notfound
https://royalsocietypublishing.org/doi/10.1098/rsbl.2022.0093,evidence
https://phys.libretexts.org/Bookshelves/Conceptual_Physics/Body_Physics_-_Motion_to_Metabolism_(Davis)/08%3A_Skydiving/8.03%3A_Body_Orientation_During_a_Skydive,83bodyor
https://www.youtube.com/watch?v=sMkGwCw7iv8,hulkvsan
https://www.youtube.com/watch?v=ethwLHw46JM,squirrel
https://www.youtube.com/shorts/mJhf7wYNkYA,whocanju
